team_id,team_name,fifa_code,confederation,group_matches,group_wins,group_draws,group_losses,group_goals_for,group_goals_against,group_goal_difference,group_points,group_win_rate
73,France,FRA,UEFA,3,3,0,0,10,2,8,9,1.0
9,Argentina,ARG,CONMEBOL,3,3,0,0,8,1,7,9,1.0
125,Mexico,MEX,CONCACAF,3,3,0,0,6,0,6,9,1.0
28,Brazil,BRA,CONMEBOL,3,2,1,0,7,1,6,7,0.6666666666666666
135,Netherlands,NED,UEFA,3,2,1,0,10,4,6,7,0.6666666666666666
178,Spain,ESP,UEFA,3,2,1,0,5,0,5,7,0.6666666666666666
64,England,ENG,UEFA,3,2,1,0,6,2,4,7,0.6666666666666666
186,Switzerland,SUI,UEFA,3,2,1,0,7,3,4,7,0.6666666666666666
44,Colombia,COL,CONMEBOL,3,2,1,0,4,1,3,7,0.6666666666666666
130,Morocco,MAR,CAF,3,2,1,0,6,3,3,7,0.6666666666666666
76,Germany,GER,UEFA,3,2,0,1,10,4,6,6,0.6666666666666666
202,USA,USA,CONCACAF,3,2,0,1,8,4,4,6,0.6666666666666666
50,Côte d'Ivoire,CIV,CAF,3,2,0,1,4,2,2,6,0.6666666666666666
144,Norway,NOR,UEFA,3,2,0,1,8,7,1,6,0.6666666666666666
51,Croatia,CRO,UEFA,3,2,0,1,5,5,0,6,0.6666666666666666
154,Portugal,POR,UEFA,3,1,2,0,6,1,5,5,0.3333333333333333
20,Belgium,BEL,UEFA,3,1,2,0,6,2,4,5,0.3333333333333333
98,Japan,JPN,AFC,3,1,2,0,7,3,4,5,0.3333333333333333
62,Egypt,EGY,CAF,3,1,2,0,5,3,2,5,0.3333333333333333
37,Canada,CAN,CONCACAF,3,1,1,1,8,3,5,4,0.3333333333333333
47,Congo DR,COD,CAF,3,1,1,1,4,3,1,4,0.3333333333333333
12,Australia,AUS,AFC,3,1,1,1,2,2,0,4,0.3333333333333333
185,Sweden,SWE,UEFA,3,1,1,1,7,7,0,4,0.3333333333333333
13,Austria,AUT,UEFA,3,1,1,1,6,6,0,4,0.3333333333333333
61,Ecuador,ECU,CONMEBOL,3,1,1,1,2,2,0,4,0.3333333333333333
77,Ghana,GHA,CAF,3,1,1,1,2,2,0,4,0.3333333333333333
26,Bosnia and Herzegovina,BIH,UEFA,3,1,1,1,5,6,-1,4,0.3333333333333333
176,South Africa,RSA,CAF,3,1,1,1,2,3,-1,4,0.3333333333333333
3,Algeria,ALG,CAF,3,1,1,1,5,7,-2,4,0.3333333333333333
150,Paraguay,PAR,CONMEBOL,3,1,1,1,2,4,-2,4,0.3333333333333333
166,Senegal,SEN,CAF,3,1,0,2,8,6,2,3,0.3333333333333333
34,Cabo Verde,CPV,CAF,3,0,3,0,2,2,0,3,0.0
90,IR Iran,IRN,AFC,3,0,3,0,3,3,0,3,0.0
103,Korea Republic,KOR,AFC,3,1,0,2,2,3,-1,3,0.3333333333333333
198,Türkiye,TUR,UEFA,3,1,0,2,3,5,-2,3,0.3333333333333333
165,Scotland,SCO,UEFA,3,1,0,2,1,4,-3,3,0.3333333333333333
206,Uruguay,URU,CONMEBOL,3,0,2,1,3,4,-1,2,0.0
164,Saudi Arabia,KSA,AFC,3,0,2,1,1,5,-4,2,0.0
55,Czechia,CZE,UEFA,3,0,1,2,2,6,-4,1,0.0
138,New Zealand,NZL,OFC,3,0,1,2,4,10,-6,1,0.0
53,Curaçao,CUW,CONCACAF,3,0,1,2,1,9,-8,1,0.0
156,Qatar,QAT,AFC,3,0,1,2,2,10,-8,1,0.0
148,Panama,PAN,CONCACAF,3,0,0,3,0,4,-4,0,0.0
99,Jordan,JOR,AFC,3,0,0,3,3,8,-5,0,0.0
86,Haiti,HAI,CONCACAF,3,0,0,3,2,8,-6,0,0.0
207,Uzbekistan,UZB,AFC,3,0,0,3,2,11,-9,0,0.0
197,Tunisia,TUN,CAF,3,0,0,3,2,12,-10,0,0.0
94,Iraq,IRQ,AFC,3,0,0,3,1,12,-11,0,0.0
