team_id,team_name,fifa_code,confederation,match_date,previous_5_matches,previous_5_wins,recent_5_win_rate,recent_5_goal_difference
9,Argentina,ARG,CONMEBOL,2026-06-27,5,5,1.0,3.0
76,Germany,GER,UEFA,2026-06-25,5,5,1.0,2.6
125,Mexico,MEX,CONCACAF,2026-06-24,5,5,1.0,2.0
28,Brazil,BRA,CONMEBOL,2026-06-24,5,4,0.8,2.0
154,Portugal,POR,UEFA,2026-06-27,5,4,0.8,1.8
73,France,FRA,UEFA,2026-06-26,5,4,0.8,1.6
98,Japan,JPN,AFC,2026-06-25,5,4,0.8,1.4
13,Austria,AUT,UEFA,2026-06-27,5,4,0.8,1.2
50,Côte d'Ivoire,CIV,CAF,2026-06-25,5,4,0.8,1.2
44,Colombia,COL,CONMEBOL,2026-06-27,5,4,0.8,1.0
130,Morocco,MAR,CAF,2026-06-24,5,3,0.6,2.0
90,IR Iran,IRN,AFC,2026-06-26,5,3,0.6,1.8
144,Norway,NOR,UEFA,2026-06-26,5,3,0.6,1.2
165,Scotland,SCO,UEFA,2026-06-24,5,3,0.6,1.2
64,England,ENG,UEFA,2026-06-27,5,3,0.6,1.0
103,Korea Republic,KOR,AFC,2026-06-24,5,3,0.6,1.0
3,Algeria,ALG,CAF,2026-06-27,5,3,0.6,0.6
198,Türkiye,TUR,UEFA,2026-06-25,5,3,0.6,0.6
202,USA,USA,CONCACAF,2026-06-25,5,3,0.6,0.6
150,Paraguay,PAR,CONMEBOL,2026-06-25,5,3,0.6,0.4
37,Canada,CAN,CONCACAF,2026-06-24,5,2,0.4,1.6
20,Belgium,BEL,UEFA,2026-06-26,5,2,0.4,1.4
178,Spain,ESP,UEFA,2026-06-26,5,2,0.4,1.2
186,Switzerland,SUI,UEFA,2026-06-24,5,2,0.4,1.2
55,Czechia,CZE,UEFA,2026-06-24,5,2,0.4,0.8
135,Netherlands,NED,UEFA,2026-06-25,5,2,0.4,0.8
12,Australia,AUS,AFC,2026-06-25,5,2,0.4,0.6
61,Ecuador,ECU,CONMEBOL,2026-06-25,5,2,0.4,0.6
62,Egypt,EGY,CAF,2026-06-26,5,2,0.4,0.4
185,Sweden,SWE,UEFA,2026-06-25,5,2,0.4,-0.2
51,Croatia,CRO,UEFA,2026-06-27,5,2,0.4,-0.8
34,Cabo Verde,CPV,CAF,2026-06-26,5,1,0.2,0.0
47,Congo DR,COD,CAF,2026-06-27,5,1,0.2,-0.2
86,Haiti,HAI,CONCACAF,2026-06-24,5,1,0.2,-0.2
77,Ghana,GHA,CAF,2026-06-27,5,1,0.2,-0.4
164,Saudi Arabia,KSA,AFC,2026-06-26,5,1,0.2,-0.4
166,Senegal,SEN,CAF,2026-06-26,5,1,0.2,-0.4
176,South Africa,RSA,CAF,2026-06-24,5,1,0.2,-0.4
138,New Zealand,NZL,OFC,2026-06-26,5,1,0.2,-0.8
148,Panama,PAN,CONCACAF,2026-06-27,5,1,0.2,-0.8
94,Iraq,IRQ,AFC,2026-06-26,5,1,0.2,-1.4
53,Curaçao,CUW,CONCACAF,2026-06-25,5,1,0.2,-1.8
26,Bosnia and Herzegovina,BIH,UEFA,2026-06-24,5,0,0.0,-0.6
206,Uruguay,URU,CONMEBOL,2026-06-26,5,0,0.0,-0.8
99,Jordan,JOR,AFC,2026-06-27,5,0,0.0,-1.6
156,Qatar,QAT,AFC,2026-06-24,5,0,0.0,-2.0
207,Uzbekistan,UZB,AFC,2026-06-27,5,0,0.0,-2.0
197,Tunisia,TUN,CAF,2026-06-25,5,0,0.0,-2.8
