Rank,Team,Round_of_16_Probability,Quarterfinal_Probability,Semifinal_Probability,Final_Probability,Champion_Probability
1,Argentina,91.66,70.64,43.74,28.59,20.51
2,Brazil,78.17,56.74,32.7,20.669999999999998,12.959999999999999
3,Spain,75.41,40.83,30.85,21.86,11.110000000000001
4,France,73.72,49.769999999999996,34.23,18.98,8.72
5,England,65.48,44.89,27.650000000000002,12.809999999999999,8.28
6,Colombia,96.06,63.91,24.66,10.85,5.7299999999999995
7,Portugal,75.36,42.230000000000004,22.040000000000003,13.33,5.28
8,Germany,68.94,34.8,20.3,9.16,3.46
9,Netherlands,67.05,45.31,15.83,8.35,3.4099999999999997
10,Belgium,47.510000000000005,34.18,16.74,8.1,3.4000000000000004
11,Switzerland,69.11,22.31,14.069999999999999,5.82,2.73
12,Ecuador,42.970000000000006,23.27,9.1,4.34,2.1399999999999997
13,Mexico,57.03,22.470000000000002,10.12,4.45,2.1
14,Senegal,52.49,37.330000000000005,13.469999999999999,5.35,1.77
15,Japan,21.83,12.889999999999999,5.6899999999999995,2.55,1.15
16,Norway,49.43,16.1,7.7,2.88,1.11
17,USA,74.21,25.11,7.41,3.08,0.9900000000000001
18,Croatia,24.64,9.86,5.57,2.1,0.84
19,Canada,85.19,24.16,11.09,2.82,0.8
20,Morocco,32.95,24.43,11.61,3.18,0.65
21,Australia,69.17999999999999,21.7,8.459999999999999,2.3,0.65
22,Algeria,30.89,13.100000000000001,6.87,1.96,0.53
23,Côte d'Ivoire,50.57000000000001,14.27,4.75,1.66,0.51
24,Paraguay,31.06,9.959999999999999,4.279999999999999,1.38,0.44999999999999996
25,Austria,24.59,7.08,3.4099999999999997,1.24,0.33999999999999997
26,Sweden,26.279999999999998,5.47,2.0,0.83,0.16999999999999998
27,Egypt,30.819999999999997,6.02,1.8499999999999999,0.49,0.1
28,Congo DR,34.52,9.370000000000001,2.29,0.61,0.08
29,South Africa,14.81,6.1,0.66,0.15,0.03
30,Ghana,3.94,0.6799999999999999,0.06999999999999999,0.0,0.0
31,Cabo Verde,8.34,1.6400000000000001,0.27999999999999997,0.02,0.0
32,Bosnia and Herzegovina,25.790000000000003,3.38,0.51,0.09,0.0
