Rank,Team,team_id,FIFA_Code,Confederation,Latest_Match_Date,Recent_5_Matches,Recent_5_Wins,Recent_5_Win_Rate,Recent_5_Goal_Difference,Group_Matches,Group_Wins,Group_Draws,Group_Losses,Group_Goals_For,Group_Goals_Against,Group_Goal_Difference,Group_Points,Group_Win_Rate,Round_of_16_Probability,Quarterfinal_Probability,Semifinal_Probability,Final_Probability,Champion_Probability
1,Argentina,9,ARG,CONMEBOL,2026-06-27,5,5,1.0,3.0,3,3,0,0,8,1,7,9,1.0,91.66,70.64,43.74,28.59,20.51
2,Brazil,28,BRA,CONMEBOL,2026-06-24,5,4,0.8,2.0,3,2,1,0,7,1,6,7,0.6666666666666666,78.17,56.74,32.7,20.669999999999998,12.959999999999999
3,Spain,178,ESP,UEFA,2026-06-26,5,2,0.4,1.2,3,2,1,0,5,0,5,7,0.6666666666666666,75.41,40.83,30.85,21.86,11.110000000000001
4,France,73,FRA,UEFA,2026-06-26,5,4,0.8,1.6,3,3,0,0,10,2,8,9,1.0,73.72,49.769999999999996,34.23,18.98,8.72
5,England,64,ENG,UEFA,2026-06-27,5,3,0.6,1.0,3,2,1,0,6,2,4,7,0.6666666666666666,65.48,44.89,27.650000000000002,12.809999999999999,8.28
6,Colombia,44,COL,CONMEBOL,2026-06-27,5,4,0.8,1.0,3,2,1,0,4,1,3,7,0.6666666666666666,96.06,63.91,24.66,10.85,5.7299999999999995
7,Portugal,154,POR,UEFA,2026-06-27,5,4,0.8,1.8,3,1,2,0,6,1,5,5,0.3333333333333333,75.36,42.230000000000004,22.040000000000003,13.33,5.28
8,Germany,76,GER,UEFA,2026-06-25,5,5,1.0,2.6,3,2,0,1,10,4,6,6,0.6666666666666666,68.94,34.8,20.3,9.16,3.46
9,Netherlands,135,NED,UEFA,2026-06-25,5,2,0.4,0.8,3,2,1,0,10,4,6,7,0.6666666666666666,67.05,45.31,15.83,8.35,3.4099999999999997
10,Belgium,20,BEL,UEFA,2026-06-26,5,2,0.4,1.4,3,1,2,0,6,2,4,5,0.3333333333333333,47.510000000000005,34.18,16.74,8.1,3.4000000000000004
11,Switzerland,186,SUI,UEFA,2026-06-24,5,2,0.4,1.2,3,2,1,0,7,3,4,7,0.6666666666666666,69.11,22.31,14.069999999999999,5.82,2.73
12,Ecuador,61,ECU,CONMEBOL,2026-06-25,5,2,0.4,0.6,3,1,1,1,2,2,0,4,0.3333333333333333,42.970000000000006,23.27,9.1,4.34,2.1399999999999997
13,Mexico,125,MEX,CONCACAF,2026-06-24,5,5,1.0,2.0,3,3,0,0,6,0,6,9,1.0,57.03,22.470000000000002,10.12,4.45,2.1
14,Senegal,166,SEN,CAF,2026-06-26,5,1,0.2,-0.4,3,1,0,2,8,6,2,3,0.3333333333333333,52.49,37.330000000000005,13.469999999999999,5.35,1.77
15,Japan,98,JPN,AFC,2026-06-25,5,4,0.8,1.4,3,1,2,0,7,3,4,5,0.3333333333333333,21.83,12.889999999999999,5.6899999999999995,2.55,1.15
16,Norway,144,NOR,UEFA,2026-06-26,5,3,0.6,1.2,3,2,0,1,8,7,1,6,0.6666666666666666,49.43,16.1,7.7,2.88,1.11
17,USA,202,USA,CONCACAF,2026-06-25,5,3,0.6,0.6,3,2,0,1,8,4,4,6,0.6666666666666666,74.21,25.11,7.41,3.08,0.9900000000000001
18,Croatia,51,CRO,UEFA,2026-06-27,5,2,0.4,-0.8,3,2,0,1,5,5,0,6,0.6666666666666666,24.64,9.86,5.57,2.1,0.84
19,Canada,37,CAN,CONCACAF,2026-06-24,5,2,0.4,1.6,3,1,1,1,8,3,5,4,0.3333333333333333,85.19,24.16,11.09,2.82,0.8
21,Australia,12,AUS,AFC,2026-06-25,5,2,0.4,0.6,3,1,1,1,2,2,0,4,0.3333333333333333,69.17999999999999,21.7,8.459999999999999,2.3,0.65
20,Morocco,130,MAR,CAF,2026-06-24,5,3,0.6,2.0,3,2,1,0,6,3,3,7,0.6666666666666666,32.95,24.43,11.61,3.18,0.65
22,Algeria,3,ALG,CAF,2026-06-27,5,3,0.6,0.6,3,1,1,1,5,7,-2,4,0.3333333333333333,30.89,13.100000000000001,6.87,1.96,0.53
23,Côte d'Ivoire,50,CIV,CAF,2026-06-25,5,4,0.8,1.2,3,2,0,1,4,2,2,6,0.6666666666666666,50.57000000000001,14.27,4.75,1.66,0.51
